c,time
0,00.000012474
500,00.000475190
1000,00.001471242
1500,00.003084112
2000,00.005166498
2500,00.007240527
3000,00.010282098
3500,00.013363451
4000,00.016686768
4500,00.021924629
5000,00.025623829
5500,00.029690587
6000,00.029182852
6500,00.036622275
7000,00.052374589
7500,00.047943441
8000,00.051241978
8500,00.057290100
9000,00.063387673
9500,00.070401853
10000,00.076982949
10500,00.087432869
11000,00.092912465
11500,00.101207132
12000,00.108625019
12500,00.118297014
13000,00.134222882
13500,00.139970045
14000,00.148298983
14500,00.160347198
15000,00.190418455
15500,00.185427291
16000,00.194993790
16500,00.200985927
17000,00.219528844
17500,00.241739587
18000,00.271323422
18500,00.263106346
19000,00.277455924
19500,00.294849134
20000,00.299759543
20500,00.314904812
21000,00.326827562
21500,00.341445907
22000,00.358959286
22500,00.408993284
23000,00.390688758
23500,00.434099790
24000,00.428428640
24500,00.454972092
25000,00.464440053
25500,00.488041641
26000,00.520777555
26500,00.532643714
27000,00.540373524
27500,00.558853306
28000,00.578109695
28500,00.622938413
29000,00.625482139
29500,00.643116205
30000,00.675603955
30500,00.688347054
31000,00.703557444
31500,00.738949461
32000,00.754853008
32500,00.777013180
33000,00.820580332
33500,00.854100489
34000,00.893966400
34500,00.904521710
35000,00.950137198
35500,00.947618654
36000,00.958076381
36500,00.983524624
37000,01.017695312
37500,01.049067195
38000,01.080432634
38500,01.115621688
39000,01.128475285
39500,01.229728409
40000,01.275280331
40500,01.227101558
41000,01.296300281
41500,01.338963829
42000,01.312009481
42500,01.364615191
43000,01.372592022
43500,01.435144693
44000,01.437505187
44500,01.477672652
45000,01.506884195
45500,01.532365301
46000,01.603221045
46500,01.594413605
47000,01.640200752
47500,01.663645780
48000,01.699413710
48500,01.736433016
49000,01.797267014
49500,01.820620973
50000,01.851167988
50500,01.893905928
51000,01.968360711
51500,01.989734363
52000,02.021449051
52500,02.102860157
53000,02.091566243
53500,02.124797501
54000,02.177741776
54500,02.180439505
55000,02.223136925
55500,02.287034268
56000,02.307329348
56500,02.395544951
57000,02.438774101
57500,02.455494301
58000,02.578097611
58500,02.550590253
59000,02.585937578
59500,02.599920129
60000,02.634207786
60500,02.722543794
61000,02.727964106
61500,02.777569817
62000,02.849905080
62500,02.876716305
63000,03.294285108
63500,03.092850586
64000,03.195627546
64500,03.337976704
65000,03.231807129
65500,03.243574001
66000,03.261786024
66500,03.443371220
67000,03.364997811
67500,03.343597597
68000,03.437960462
68500,03.491014384
69000,03.467601561
69500,03.533608147
70000,03.614194788
70500,03.632181939
71000,03.727796790
71500,03.798990618
72000,03.820766095
72500,03.917272796
73000,03.910664722
73500,03.979272101
74000,04.035796218
74500,04.082294036
75000,04.151307304
75500,04.206929974
76000,04.327232231
76500,04.295627056
77000,04.342480762
77500,04.442660606
78000,04.445632460
78500,04.553688532
79000,04.573712974
79500,04.675759279
80000,04.675832204
80500,04.800511335
81000,04.813695654
81500,04.891403217
82000,04.941848864
82500,05.081525191
83000,05.065960623
83500,05.128818857
84000,05.169987066
84500,05.268984357
85000,05.308892534
85500,05.383365414
86000,05.400786481
86500,05.520495791
87000,05.545437369
87500,05.667504398
88000,05.741342661
88500,05.776119568
89000,05.826181967
89500,05.912404986
90000,05.987324437
90500,06.009384334
91000,06.089967662
91500,06.140817365
92000,06.220872922
92500,06.278039042
93000,06.402725220
93500,06.476101711
94000,06.535634686
94500,06.517523183
95000,06.663172908
95500,06.755333102
96000,06.744740835
96500,06.894839378
97000,06.971195441
97500,07.012026214
98000,07.077590293
98500,07.163006750
99000,07.212553292
99500,07.308920026
100000,07.340596038
100500,07.440466807
101000,07.503749394
101500,07.619423374
102000,07.662244592
102500,07.690375184
103000,07.761188920
103500,07.882026414
104000,07.932411739
104500,08.023875324
105000,08.131824774
105500,08.255674812
106000,08.243419310
106500,08.338282449
107000,08.468748111
107500,08.467122733
108000,08.567189086
108500,08.628915373
109000,08.743525232
109500,08.891929251
110000,08.893133724
110500,09.001204968
111000,09.047124136
111500,09.139862794
112000,09.222715499
112500,09.368562206
113000,09.370613625
113500,09.415601833
114000,09.494659434
114500,09.640629285
115000,09.746046955
115500,09.763983700
116000,09.925414233
116500,09.945980137
117000,10.069995647
117500,10.148626533
118000,10.202133790
118500,10.318394448
119000,10.427371130
119500,10.519655361
120000,10.594113500
120500,10.651979494
121000,10.798964127
121500,10.876753029
122000,10.928006576
122500,11.018522564
123000,11.123727577
123500,11.188651660
124000,11.257218603
124500,11.440440704
125000,11.441440952
125500,11.557864443
126000,11.658025929
126500,11.726913406
127000,11.889671480
127500,11.926230357
128000,12.088594434
128500,12.166236406
129000,12.250234651
129500,12.366166455
130000,12.382583739
130500,12.524548513
131000,12.643966331
131500,12.656066345
132000,12.780647407
132500,12.926177884
133000,12.988783421
133500,13.129064416
134000,13.188993663
134500,13.351939625
135000,13.352904244
135500,13.447738344
136000,13.612723802
136500,13.816212040
137000,13.955549190
137500,13.871298874
138000,14.051565119
138500,14.190459848
139000,14.261913061
139500,14.330953640
140000,14.904880391
140500,14.506221538
141000,14.728791831
141500,14.805240322
142000,14.913728525
142500,14.938969146
143000,15.097208678
143500,15.126470647
144000,15.303728109
144500,15.438277589
145000,15.571724771
145500,15.653605208
146000,15.728125942
146500,15.898059402
147000,15.988921705
147500,16.090929532
148000,16.118671454
148500,16.374227221
149000,16.398082228
149500,16.350975078
150000,16.563751884
150500,16.732479152
151000,16.797362852
151500,16.929597130
152000,17.027276181
152500,17.219791941
153000,17.227325204
153500,17.472913471
154000,17.483519767
154500,17.604669511
155000,17.789800571
155500,17.767874084
156000,17.914550475
156500,18.026969688
157000,18.136444875
157500,18.277475853
158000,18.310574441
158500,18.531187748
159000,18.604263718
159500,18.832907136
160000,18.917634846
160500,19.063254844
161000,19.153709355
161500,19.262428666
162000,19.328233759
162500,19.506306032
163000,19.555290842
163500,19.619866139
164000,19.838482577
164500,19.908289844
165000,20.002070593
165500,20.224184377
166000,20.354744757
166500,20.346370059
167000,20.675973447
167500,20.767992038
168000,20.683526443
168500,20.923906469
169000,21.087011373
169500,21.186924650
170000,21.339549294
170500,21.378961145
171000,21.456338513
171500,21.730463695
172000,21.825383610
172500,21.962082473
173000,22.019680820
173500,22.105706541
174000,22.307739819
174500,22.456387604
175000,22.482802427
175500,22.675023064
176000,22.847039630
176500,23.005588372
177000,23.076493775
177500,23.211074971
178000,23.379101845
178500,23.510973618
179000,23.520341831
179500,23.695461113
180000,23.863603716
180500,24.064933012
181000,24.079964691
181500,24.408614286
182000,24.479609699
182500,24.695385348
183000,24.758184186
183500,24.917282941
184000,24.980730917
184500,25.103592569
185000,25.184491449
185500,25.427866354
186000,25.382535816
186500,25.730991393
187000,25.736538280
187500,25.849623851
188000,26.049599171
188500,26.106525626
189000,26.292405542
189500,26.329167772
190000,26.534532639
190500,26.818403118
191000,26.798851910
191500,27.035991074
192000,27.191668662
192500,27.320518198
193000,27.301527108
193500,27.511235711
194000,27.691218612
194500,27.888266016
195000,28.056309483
195500,28.154149338
196000,28.337358518
196500,28.355762526
197000,28.585728190
197500,28.630264467
198000,28.948425934
198500,28.984151342
199000,29.184742546
199500,29.208275886
200000,29.415778573
