c,time
0,00.000011177
500,00.000643224
1000,00.002117156
1500,00.004613665
2000,00.008128396
2500,00.012889004
3000,00.018516175
3500,00.021025860
4000,00.023325313
4500,00.028731444
5000,00.037412463
5500,00.059874643
6000,00.062759880
6500,00.062262919
7000,00.070185441
7500,00.080500613
8000,00.091770593
8500,00.104729962
9000,00.114669376
9500,00.124541067
10000,00.139332976
10500,00.153659948
11000,00.173526205
11500,00.196923301
12000,00.197835793
12500,00.212692172
13000,00.236176785
13500,00.257787652
14000,00.274965357
14500,00.292981452
15000,00.312704717
15500,00.353318710
16000,00.350725726
16500,00.409971197
17000,00.392418042
17500,00.420332295
18000,00.463093581
18500,00.482947397
19000,00.505468573
19500,00.527135511
20000,00.603728727
20500,00.584092066
21000,00.605451276
21500,00.647394452
22000,00.672637690
22500,00.700981211
23000,00.750652463
23500,00.757769711
24000,00.785984301
24500,00.844208327
25000,00.852740840
25500,00.904880354
26000,00.930362712
26500,00.971744671
27000,00.995633069
27500,01.040930519
28000,01.089317973
28500,01.118221427
29000,01.152184299
29500,01.222883864
30000,01.251829115
30500,01.275689538
31000,01.328781679
31500,01.375024739
32000,01.440321463
32500,01.491031678
33000,01.483871292
33500,01.575924578
34000,01.588217488
34500,01.648273938
35000,01.694392852
35500,01.732559467
36000,01.783553256
36500,01.859630263
37000,01.892947704
37500,01.921011677
38000,02.001282583
38500,02.030973743
39000,02.131708027
39500,02.143048742
40000,02.195032595
40500,02.259800433
41000,02.339745633
41500,02.396688399
42000,02.427932064
42500,02.492221013
43000,02.534775283
43500,02.621994955
44000,02.675762302
44500,02.723364016
45000,02.811123011
45500,02.850762796
46000,02.937871728
46500,03.075666665
47000,03.057844881
47500,03.109918520
48000,03.132991010
48500,03.245982042
49000,03.299229181
49500,03.374775656
50000,03.451966747
50500,03.530540408
51000,03.553488554
51500,03.682309918
52000,03.739301785
52500,03.784569933
53000,03.869331323
53500,03.909547581
54000,04.005342130
54500,04.056227061
55000,04.274798110
55500,04.202977871
56000,04.298769510
56500,04.401137145
57000,04.485129398
57500,04.549261199
58000,04.625491978
58500,04.748567113
59000,04.955464278
59500,05.029598003
60000,05.143888321
60500,05.052419419
61000,05.117148962
61500,05.306883872
62000,05.314567433
62500,05.387547511
63000,05.450688107
63500,05.574670468
64000,05.679740707
64500,05.749304937
65000,05.795633736
65500,05.903589240
66000,05.962783953
66500,06.106484236
67000,06.224568145
67500,06.285350558
68000,06.353770862
68500,06.432826284
69000,06.678152199
69500,06.643278433
70000,06.694804846
70500,06.803292692
71000,06.905735933
71500,07.115555093
72000,07.170780274
72500,07.195269860
73000,07.332417301
73500,07.442436400
74000,07.493155819
74500,07.598324615
75000,07.728702343
75500,07.935646816
76000,07.941529529
76500,08.015462158
77000,08.144210922
77500,08.223496393
78000,08.346652251
78500,08.471969579
79000,08.639523238
79500,08.986589732
80000,08.947010997
80500,08.953208329
81000,09.053372037
81500,09.110215106
82000,09.259255056
82500,09.405584459
83000,09.516019599
83500,09.562854043
84000,09.668916988
84500,09.772375526
85000,09.884552032
85500,10.031858075
86000,10.199569530
86500,10.285362082
87000,10.394071714
87500,10.499153515
88000,10.622233831
88500,10.805415043
89000,10.910678928
89500,11.012102011
90000,11.050064581
90500,11.176906413
91000,11.364632736
91500,11.538718822
92000,11.617807791
92500,11.756011670
93000,11.880880690
93500,12.010026703
94000,12.158542731
94500,12.190337546
95000,12.364438029
95500,12.445448926
96000,12.611036123
96500,12.818370707
97000,12.875663940
97500,13.032016951
98000,13.108593464
98500,13.343465888
99000,13.430873657
99500,13.490174701
100000,13.680926226
100500,13.787856610
101000,13.999887877
101500,14.221629578
102000,14.232387024
102500,14.432540350
103000,14.552018466
103500,14.636511068
104000,14.740915482
104500,14.945326112
105000,15.190248520
105500,15.305137630
106000,15.338443604
106500,15.535290503
107000,15.853469036
107500,15.830911269
108000,16.029409485
108500,16.176354754
109000,16.390617338
109500,16.364207912
110000,16.484706674
110500,16.660996719
111000,16.952897427
111500,17.018467611
112000,17.202279751
112500,17.439616358
113000,17.478903945
113500,17.583735247
114000,17.821633342
114500,18.042874875
115000,18.117563441
115500,18.294409536
116000,18.495958396
116500,18.532398665
117000,18.735447745
117500,18.919551480
118000,19.338353032
118500,19.228968078
119000,19.237674676
119500,19.581160739
120000,19.588785986
120500,19.937201857
121000,20.150224791
121500,20.102244816
122000,20.341161019
122500,20.593849771
123000,20.700697984
123500,21.024487175
124000,21.146748397
124500,21.202399330
125000,21.382114938
125500,21.620364649
126000,21.621290553
126500,21.919461688
127000,22.084389988
127500,22.271028760
128000,22.530577127
128500,22.492064855
129000,22.780040320
129500,23.028307741
130000,23.024286966
130500,23.280074194
131000,23.455974556
131500,23.649415986
132000,23.954515007
132500,23.997809800
133000,24.218938645
133500,24.425570953
134000,24.551663606
134500,24.814684856
135000,24.920903667
135500,25.095594959
136000,25.293892834
136500,25.417041468
137000,25.710967874
137500,25.855822855
138000,26.081598650
138500,26.178307153
139000,26.517662473
139500,26.650419115
140000,26.979389466
140500,26.935049854
141000,27.191851830
141500,27.351950915
142000,27.911537414
142500,28.060282447
143000,27.992629850
143500,28.313731797
144000,28.719809114
144500,29.605957766
145000,29.201875773
145500,28.997892356
146000,29.269340522
146500,29.346250183
147000,29.676571183
147500,29.755151391
148000,29.958115652
148500,30.174032159
149000,30.493848187
149500,30.749084913
150000,30.921926196
