c,time
0,00.000021794
4,00.000049092
8,00.000132516
12,00.000225774
16,00.000379717
20,00.000615427
24,00.000920854
28,00.001091074
32,00.001631715
36,00.002106766
40,00.002769184
44,00.003758968
48,00.004943157
52,00.005872691
56,00.007212309
60,00.008471564
64,00.010001132
68,00.013419564
72,00.015316531
76,00.020137489
80,00.023861299
84,00.028550665
88,00.033672358
92,00.038273723
96,00.035285109
100,00.043454793
104,00.048142904
108,00.050269761
112,00.056041876
116,00.065974708
120,00.072097470
124,00.079322154
128,00.091061380
132,00.099795226
136,00.109386632
140,00.121935558
144,00.132466106
148,00.143944899
152,00.164794200
156,00.184305210
160,00.215835420
164,00.215546764
168,00.236043030
172,00.257806897
176,00.279118572
180,00.307023059
184,00.328047722
188,00.366420199
192,00.382050525
196,00.419252797
200,00.450832973
204,00.481141541
208,00.532172888
212,00.563838362
216,00.612494371
220,00.656015462
224,00.692314592
228,00.726005144
232,00.802559084
236,00.882225585
240,00.955179160
244,00.986719259
248,01.056307339
252,01.117180562
256,01.180757776
260,01.293380212
264,01.326071106
268,01.379228657
272,01.458403685
276,01.550406920
280,01.629032519
284,01.724064626
288,01.818667223
292,01.958603556
296,02.080770571
300,02.154639246
304,02.216103180
308,02.346739825
312,02.515905826
316,02.586929780
320,02.766397703
324,02.887568778
328,02.999253254
332,03.128213362
336,03.289371032
340,03.447800943
344,03.612416102
348,03.775360358
352,04.020516379
356,04.354514607
360,04.342349341
364,04.481703332
368,04.732292152
372,04.954882201
376,05.136042159
380,05.308365706
384,05.538468173
388,05.759415772
392,06.018368788
396,06.277634469
400,06.506341207
404,06.748742570
408,07.027663067
412,07.332756646
416,07.599596331
420,07.867562139
424,08.190434586
428,08.481943300
432,08.757954824
436,09.061591350
440,09.443697402
444,09.810958023
448,10.109941488
452,10.469007689
456,10.924986606
460,11.197752807
464,11.718615411
468,12.051067399
472,12.461005910
476,12.860307741
480,13.246787878
484,13.896590333
488,14.098849250
492,14.663687436
496,15.039318934
500,15.621112340
504,15.974368289
508,16.601165428
512,17.199181857
516,17.810036763
520,18.237073740
524,18.759627077
528,19.466374119
532,19.877512223
536,20.586313336
540,21.309202483
544,21.794424744
548,22.346020898
552,23.122451601
556,23.840654889
560,24.521992790
564,25.143499805
568,25.724082323
572,26.649189499
576,27.302931321
580,28.123538512
584,28.868678485
588,29.683507986
592,30.798241827
596,31.714309407
600,32.257967526
